Type,Group,Sub-Group,Number,Name,Keywords,Description
Assets,,,,ASSETS,,
Assets,Current assets,Cash & Equivalents,1001,Petty Cash,,Petty cash is the amount of ready cash that the practice keeps available on premises for incidental needs. Examples of petty cash uses include reimbursement to employees for out-of-pocket purchases of office supplies and postage.
Assets,Current assets,Cash & Equivalents,1002,Cash in Daily Drawer,,"The cash drawer represents the amount of cash on hand to provide change to clients, who are making cash purchases of services and retail items, or are settling the balances of their accounts. A separate petty cash fund should be maintained for incidental expenses."
Assets,Current assets,Cash & Equivalents,1003,Undeposited Funds,,"This account records client payments and other receipts on premises or otherwise under practice control, and not yet deposited to the bank."
Assets,Current assets,Cash & Equivalents,1010,Primary Checking Account,,The chief operating bank account used for daily fee collection deposits and for paying bills.
Assets,Current assets,Cash & Equivalents,1011,Secondary Checking Account,,"Many practices maintain more than one checking account, such as an account for payroll or an account that reflects the activity of a second practice location."
Assets,Current assets,Cash & Equivalents,1012,Savings Account,,"In general, a practice savings account serves as an interest-bearing repository of reserve funds for working-capital requirements or for planned investments or commitments such as employee retirement funding."
Assets,Current assets,Cash & Equivalents,1013,Certificates of Deposit,,Record investments in certificate of deposits to this account. Interest earned on investments will be recorded in the 9050 account for interest revenues either at the time the interest is received (cash basis accounting) or when the right to it is earned (accrual basis accounting).
Assets,Current assets,Cash & Equivalents,1014,Money Market Account,,"Either a commercial bank’s account or a brokerage-held account, a practice money market account provides another interest-bearing option for reserving funds to meet working capital needs or for future practice commitments."
Assets,Current assets,General,1100,Accounts Receivable,,The account used for recording client-owed amounts for veterinary services and ancillary purchases.
Assets,Current assets,General,1101,Allowance for Uncollectable Accounts (contra account),,This is a contra asset account associated with accounts receivable. This account will maintain a credit balance and should be used when anticipating a portion of the accounts receivable will be uncollectible in the future.
Assets,Current assets,General,1120,Drug and Medical Supply Inventory,,"Inventory value should be a reasonable approximation of drugs on hand (at acquisition cost) at quarterly reporting dates, including partial packages."
Assets,Current assets,General,1130,Employee Advances,,"Advances to employees, most often as very short-term loans against future wages are recorded in this account."
Assets,Current assets,General,1131,Advances -- Related Party,,This account is used to record episodic and quickly repaid personal expenditures made on behalf of officers or owners of the practice.
Assets,Current assets,General,1140,"Note Receivable, Current Portion -- Related Party",,"Notes receivable usually reflect an interest-bearing loan of a large money amount or sale of valuable company property to an individual, with the requirement for repayment of the amount or value. If the terms of the loan provide for repayment to the practice over a period of longer than one year, then the portion to be repaid in greater than twelve months’ time is recorded in account 2600, Long Term Portion of Notes Receivable. Account 1500 is explicitly reserved for amounts loaned to individuals who are related to the practice through ownership rights or through fiduciary responsibility, such as a director or officer."
Assets,Current assets,General,1141,"Note Receivable, Current Portion -- Other",,"This account carries amounts owed to the practice, usually by non-owner employees or related entities. Occasionally, it will also include client-signed promissory notes made to the practice when the client has renegotiated large, outstanding accounts-receivable amounts for documented re-payment over time."
Assets,Current assets,General,1150,Prepaid Expenses,,"Record in this account any payments that reflect the acquisition of services that the practice will use in a future financial period. In the financial period of their use, adjust prepaid amounts as expenses and reduces the asset value of the prepaid expense account. Some examples of prepaid expenses are airline tickets and convention registration purchased for a continuing education event scheduled some months in the future; professional dues and membership payments for a future membership period; and service contracts that cover one or several years of future financial periods. Include in this account prepaid insurance premiums, prepaid rent, prepaid federal income tax, prepaid state income and/or franchise tax, and prepaid local income tax if applicable to your practice."
Assets,Current assets,General,1151,Prepaid Interest,,Record in this account any payments that reflect the prepayment of interest to be expensed in future periods
Assets,Current assets,General,1160,Deposits for New Equipment,,Record in this account any down payments made for equipment orders and similar assets that will be received and put in service at a future date.
Assets,Current assets,General,1170,Construction In Progress,,"When the practice is renovating or expanding facility or constructing other capital assets that have not yet been put into service, payments made for the ongoing construction project are coded here. Once the project is complete, and all costs have been accumulated, the total is re-classed to the appropriate fixed asset accounts with adequately detailed descriptions. When the building or constructed asset is put in service, depreciation can begin."
Assets,Fixed assets,Fixed assets,1200,Professional Medical Equipment,,"The acquisition costs of all medical, surgical, and diagnostic equipment used for service provision and revenue generation are included in this account. Examples include autoclaves and sterilization equipment; surgery and anesthetic equipment; X-ray machines and other imaging equipment such as ultrasound machines; microscopes and bench laboratory machines; and any other type of medical, patient-support, or monitoring equipment. Any item of equipment to which the practice has title or realistically will have title through acquisition contract terms should be listed in this account."
Assets,Fixed assets,Fixed assets,1210,Computer Hardware,,"Record all purchased computer equipment in this account, including electronic office equipment such as electronic cash registers, computer peripheral equipment, modems, surge protectors, computer cabling, servers, video monitors, printers, fax machines and network copiers. As the practice takes computer equipment out of service (often due to obsolescence as much as to breakage), it should also dispose of and remove the equipment from the accounting records."
Assets,Fixed assets,Fixed assets,1220,"Office Equipment, Furniture & Fixtures",,"This fixed asset account includes all non-computer office equipment acquisitions, such as phone systems, calculators, photocopiers (not computer-networked), typewriters, paper-shredders, and similar equipment. It also includes appliances such as washers, dryers, freezers, and TVs not associated with medical equipment. The account also includes office furnishings such as desks, filing cabinets, chairs, waiting room furniture, decor, lockers, bookcases, movable lighting fixtures, signs, and other appurtenances not permanently affixed and integral features of the building."
Assets,Fixed assets,Fixed assets,1230,Practice Vehicles,,"Vehicles owned by and titled to the practice are coded in this account, and in general are used in the production of veterinary revenue (patient transport, house calls, business errands and travel). Debatable issues affecting appropriate accounting for leased vehicles dictate you seek the practice accountant’s input and advice so that regulatory compliance occurs. Additionally, vehicles used in companion animal practice may have mixed use for personal use and commuting, as well as for the purposes of conducting veterinary business. Once business use (which does NOT include commuting) falls below 50%, special rules apply to depreciation."
Assets,Fixed assets,Fixed assets,1240,Leasehold/Building Improvements,,"Code building construction projects that upgrade and/or extend the useful life of practice-occupied buildings in this account. Integral, stationary, and permanently affixed parts of the facility, building improvements increase its value and usefulness. Improvements include renovations, additions, permanent upgrades, new roofs, and new floors. Capitalize major repairs, which add significant facility value or life expectancy, for inclusion in this account."
Assets,Fixed assets,Fixed assets,1245,Buildings,,Record any costs of buildings to which the practice holds ownership title in this account.
Assets,Fixed assets,Fixed assets,1250,Land Improvements,,"Improvements made to land owned or leased by the practice, which includes such enhancements as driveways, sidewalks, landscaping, storm drainage, utilities, and septic systems."
Assets,Fixed assets,Fixed assets,1255,Land,,"Record in this account the cost of any land purchased by the practice, to which it takes title (an estate in real property). As a non-wasting asset, land is not depreciated. As such, no accumulated depreciation account exists for this fixed asset."
Assets,Fixed assets,Fixed assets,1290,Accumulated Depreciation (contra account),,"This is a general “catch-all” account for use in recording accumulated depreciation for all depreciable assets, in the event the practice owners (or accountant) prefers not to group accumulated depreciation with its related asset classes (professional equipment, office equipment, etc.) This provides an expedited method for tracking accumulated depreciation in a single balance sheet account."
Assets,Other Long-Term Assets,Other Long-Term Assets,1310,Computer Software,,"Computer software purchases are capitalized and recorded in this account. Often, computer software is bundled as part of a computer system purchase. The portion of the purchase price attributable to software is identified and recorded in this account. Since tax rules change about the correct way to depreciate or amortize software, speak with the practice’s accountant to decide the best way to record system purchases which include both hardware and software components."
Assets,Other Long-Term Assets,Other Long-Term Assets,1320,Goodwill,,Goodwill recorded in the practice books depends on the fact of a transaction involving goodwill acquisition at some time in the entity’s history. Goodwill represents the amount paid for an existing practice entity (target) that is in excess of the target’s other assets at the time of purchase. This account is only used for recording the purchase of preexisting goodwill from another entity.
Assets,Other Long-Term Assets,Other Long-Term Assets,1321,Covenant Not to Compete,,The negotiated price assigned to the covenant not to compete in the course of allocating the total practice purchase is recorded in this account.
Assets,Other Long-Term Assets,Other Long-Term Assets,1330,Organizational & Startup costs,,"Costs related to veterinary practice start up and organization are capitalized and recorded to this account, including legal, accounting, site selection, appraisals, and any other fees incurred prior to the actual opening of the doors for business."
Assets,Other Long-Term Assets,Other Long-Term Assets,1340,Loan Costs,,"Loan costs should be amortized over the life of the loan. Fees such as legal, accounting, registration and bank fees incurred in conjunction with obtaining or refinancing a loan are considered loan fees. Record all such loan fees in this account and amortize them by debiting amortization expense account 8050 and crediting 2599 Accumulated Amortization monthly over the life of the loan."
Assets,Other Long-Term Assets,Other Long-Term Assets,1350,Accumulated Amortization,,This is a general “catch-all” account for use in recording accumulated amortization for all intangible and amortizable assets. This provides an expedited method for tracking accumulated amortization in a single balance sheet account.
Assets,Other Long-Term Assets,Other Long-Term Assets,1360,"Note Receivable, Long-Term Portion",,"This account reflects the principle portion of promissory notes and secured notes for which receipt occurs at greater than twelve months from the balance sheet date. Adjust the note’s current portion, that is, the principal amount receivable in 12 months or less, in accounts 1450 or 1500."
Assets,Other Long-Term Assets,Other Long-Term Assets,1370,Refundable Deposits,,"Use this account to record the amount of refundable deposits made at the initiation of a service, such as utilities. If the deposit is non-refundable, then it should be expensed when the expenditure occurred."
Assets,Other Long-Term Assets,Other Long-Term Assets,1380,Other Assets,,Include in this account the cash value of any practice-owned life insurance policy or other assets not specified in listed asset accounts.
Liabilities,,,,LIABILITIES,,
